Titulo,Autor,Fecha_Publicacion,Precio_en_dolares
                    I Don't Need Therapy,Toni Lodge,2023,19.79
                    It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,2016,12.52
                    Verity,Colleen Hoover,2022,7.37
                    JOURNEY. THE ART OF CARLES DALMAU,CARLES DALMAU,2022,32.23
                    The Seven Moons of Maali Almeida,Shehan Karunatilaka,2022,18.66
                    Stellarlune,Shannon Messenger,2018,11.29
                    Atomic Habits,James Clear,2021,18.43
                    Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2022,9.88
                    The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,2022,17.89
                    It Starts with Us,Colleen Hoover,2019,17.40
                    Before the Coffee Gets Cold,Toshikazu Kawaguchi,2015,10.89
                    The Body Keeps the Score,Bessel Van Der Kolk,2016,15.12
                    Ugly Love,Colleen Hoover,2021,9.63
                    The Midnight Library,Matt Haig,2022,10.01
                    Small Things Like These,Claire Keegan,2022,9.42
                    TommyInnit Says...The Quote Book,Tom Simons,2022,13.72
                    I'm Glad My Mom Died,Jennette McCurdy,1995,22.27
                    The Secret History,Donna Tartt,2021,12.94
                    The Thursday Murder Club,Richard Osman,2022,10.63
                    Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,2019,18.91
                    Where the Crawdads Sing,Delia Owens,2022,9.99
                    Harry Potter and the Order of the Phoenix,J.K. Rowling,2022,37.38
                    Surrender,Bono,2022,29.21
                    Small Things Like These,Claire Keegan,2022,11.77
                    Twisted Love,Ana Huang,2022,10.22
"                    Friends, Lovers and the Big Terrible Thing",Matthew Perry,2020,23.13
"                    Chainsaw Man, Vol. 1",Tatsuki Fujimoto,2022,9.28
                    The Climate Book,Greta Thunberg,2021,57.41
"                    Spy x Family, Vol. 3",TATSUYA ENDO,2022,8.06
                    Lucy by the Sea,Elizabeth Strout,2022,16.84
                    The Fall of Numenor,J.R.R. Tolkien,2019,29.35
                    Everything I Know About Love,Dolly Alderton,2022,11.56
                    The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,2014,22.51
                    The Jolly Christmas Postman,Allan Ahlberg,2020,16.05
                    No Longer Human,Osamu Dazai,2016,12.86
                    The One Thing,Gary Keller,2021,9.54
                    The Love Hypothesis,Ali Hazelwood,2019,9.07
                    A Good Girl's Guide to Murder,Holly Jackson,2020,10.68
"                    Chainsaw Man, Vol. 2",Tatsuki Fujimoto,2022,10.38
                    Reminders of Him,Colleen Hoover,2022,12.01
                    Glucose Revolution,Jessie Inchauspe,2022,14.99
                    Cinema Speculation,Quentin Tarantino,2020,23.31
                    The Silent Patient,Alex Michaelides,2022,8.85
                    Conversations on Love,Natasha Lunn,2020,12.16
                    The Psychology of Money,Morgan Housel,2012,15.92
                    Roald Dahl's Marvellous Joke Book,Roald Dahl,2022,7.72
                    Loss,Donna Ashworth,2023,12.17
                    The Mindful High Performer,Chelsea Pottenger,2017,31.36
                    If We Were Villains,M. L. Rio,2022,10.99
                    A Ukrainian Christmas,Yaroslav Hrytsak,2022,15.66
                    Foster,Claire Keegan,2022,9.13
                    Twisted Games,Ana Huang,2021,11.67
"                    Chainsaw Man, Vol. 4",Tatsuki Fujimoto,2014,10.39
                    Brain Games For Clever Kids (R),Gareth Moore,2022,5.24
                    Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,2022,17.89
                    The Baddies,Julia Donaldson,2019,16.60
                    12 Rules for Life,Jordan B. Peterson,2021,12.77
"                    Chainsaw Man, Vol. 3",TATSUKI FUJIMOTO,2015,9.99
                    Man's Search For Meaning,Viktor E Frankl,2019,7.90
